ds,y,yhat,yhat_lower,yhat_upper
2014-07-14,257,239.31891450884308,167.00357633525647,316.0860831104408
2014-07-15,264,250.59670302678185,173.85775519042843,326.89008818734595
2014-07-16,251,255.06011642335403,181.2713600167176,335.872899945511
2014-07-17,236,257.4271900707592,188.22111039729725,331.3962626746582
2014-07-18,277,271.4187221191621,196.082457946414,345.4637412828855
2014-07-19,325,348.08272115500887,271.7544823411143,427.39663225838615
2014-07-20,281,330.37183379272795,251.43807630654476,407.59201694749
2014-07-21,250,253.94475960635708,183.71685701325816,332.08123615808535
2014-07-22,277,263.75114844384217,187.57368627767417,342.3535246629006
2014-07-23,259,266.2744928723328,193.3557105383529,350.1156561801276
2014-07-24,248,266.25939257824336,190.98984419461675,339.146016234317
2014-07-25,281,277.46567737556245,200.7827587524044,347.6110236021366
2014-07-26,351,350.9921502590318,274.3976178341792,421.7135636352215
2014-07-27,366,394.81994503407225,316.6019207879428,470.48798197607607
2014-07-28,474,364.4052202166289,291.45648803217534,437.8101080362553
2014-07-29,456,370.42237441541016,294.44225661201244,442.609617004735
2014-07-30,414,369.10001535994917,299.6608933950368,448.627676450016
2014-07-31,299,300.30435248245465,229.25113575407016,376.44546603620313
2014-08-01,279,307.8194623947503,235.56869502990315,382.0686592331762
2014-08-02,333,377.86701873500397,307.93918281644363,459.1993397956056
2014-08-03,327,353.54826962874495,278.86682795631765,434.91000136951834
2014-08-04,338,270.67492971927925,199.4459597519594,342.44490102132215
2014-08-05,380,274.3503418433818,199.66434536630882,350.8967390206919
2014-08-06,311,271.20855605654043,193.04965643438183,344.1187567627175
2014-08-07,319,266.1378024363934,188.1210617243277,339.3659956769801
2014-08-08,266,273.0309443296422,208.55836116384808,343.62627213342216
2014-08-09,352,343.1057711565692,261.40785901864444,420.05642522587715
2014-08-10,345,319.4782564224465,241.96165595041947,392.9949868296897
2014-08-11,355,237.95989621149116,165.1139309721785,316.12451521564265
2014-08-12,329,243.63872975059186,179.98554628558395,324.09620060862113
2014-08-13,341,243.11865710015408,163.90893916855245,316.0166299937682
2014-08-14,377,241.24352608536338,166.91419273802384,312.31985979574887
2014-08-15,318,251.8485607517497,172.21179277409018,322.9054006911481
2014-08-16,452,326.08196638525664,254.8622673176922,397.7206286712052
2014-08-17,392,306.9798035966047,230.31668432214545,379.37228515171023
2014-08-18,371,230.26520540816693,147.22718092919294,301.9198015306675
2014-08-19,339,240.93149050722732,163.92093512387493,315.3300556776532
2014-08-20,346,245.4837335327177,169.28646244603578,321.84795719733444
2014-08-21,321,248.66520600535682,173.88221453554615,326.63890972257263
2014-08-22,307,264.2111989747457,196.20473527942573,340.8704500980578
2014-08-23,388,343.17300015953026,265.65525816111204,421.64148139933616
2014-08-24,402,328.4950564701217,255.0447647125138,407.1098569962505
2014-08-25,280,255.81633656415661,182.22932697895627,334.8095037866768
2014-08-26,314,270.05539126057704,190.0857046493109,350.1130645572844
2014-08-27,310,277.65362278012407,199.12500957449376,351.74436414557886
2014-08-28,278,283.30313332740013,206.2740455286437,363.56077977082634
2014-08-29,313,300.70162895448124,227.0993462991706,373.6898020202442
2014-08-30,357,445.84408678784933,369.5949107377727,524.3035592215928
2014-08-31,349,366.7654690834576,295.58885447386024,438.47960528248734
2014-09-01,293,294.01168449549334,212.20753961982518,367.4826492069767
2014-09-02,368,307.5546439869455,236.65842888322803,380.903004153238
2014-09-03,332,313.8695898426667,238.17705861507142,389.05605178579316
2014-09-04,391,317.6948991138713,245.0155517394115,387.93984605793406
2014-09-05,345,332.7856002396688,260.99920897370583,404.95172252148456
2014-09-06,411,410.2364280452925,334.37403880087464,488.69251921389775
2014-09-07,510,393.0574781506705,322.6959220962273,469.0446096274538
2014-09-08,407,316.97352130263226,240.5227938946296,390.07888792834717
2014-09-09,381,327.0065354074132,250.71476518403807,403.52089231746425
2014-09-10,356,329.7160386622389,252.0847083585955,403.81882293490446
2014-09-11,399,329.9236771028163,260.4862544906677,411.23023737795194
2014-09-12,395,341.4646333464454,265.15099956232706,413.84320758865385
